,baseline_0,baseline_1,baseline_2,baseline_3,baseline_4,baseline_5,baseline_6,baseline_7
learned_0,0.419071292349138,0.4902036348706382,-0.7671104404805114,-0.4155866059244963,0.1849057513228266,-0.16016433314701034,0.9532245842612651,-0.6078250112743133
learned_1,-0.44076074850224106,-0.35790174269085795,0.06289715619535301,0.9311146682838563,-0.32794935995590924,0.6102855899933189,-0.299242816481324,-0.23586346846862793
learned_2,-0.5019212331081842,-0.27154031835492565,0.4900169522099245,0.4613047725961071,-0.3094713201065843,0.1921133620981333,-0.21920593402817096,0.19663896270722978
learned_3,-0.08566422431765361,0.1918142572939723,-0.10293365693423175,-0.43774873584462076,0.4539360112661292,0.44922600243994887,0.07153248290949929,-0.2734395013646698
learned_4,-0.14411969877027694,-0.21777187973244289,0.26055682063238667,-0.08322092136856332,-0.3244081056946963,-0.30647566860083814,-0.4100624977981975,0.9912164820348258
learned_5,-0.2237714461375186,0.9117605669009683,0.04347662569563849,-0.5689816457601459,0.7154390582091761,-0.1405269128261391,0.35926910896368497,-0.4109200130196771
learned_6,-0.5443767978273004,-0.34245777590920934,0.8450307580902967,0.5851706490946181,0.012645429745113596,0.11377927607967477,-0.9240964063573373,0.3514269997698
learned_7,0.9930198457615974,-0.26763779386783865,-0.5205336940958907,-0.3129364615398672,-0.26210402083414136,-0.4566784403542867,0.40875155631392496,-0.13315965879588282
