learned_cluster,baseline_cluster,corr
0,6,0.9532245842612651
1,3,0.9311146682838563
2,5,0.1921133620981333
3,4,0.4539360112661292
4,7,0.9912164820348258
5,1,0.9117605669009683
6,2,0.8450307580902967
7,0,0.9930198457615974
