cluster_kmeans,n_events_log1p,duration_ms_log1p,n_trade_log1p,n_add_log1p,n_cancel_log1p,buy_like_ratio,sell_like_ratio,aggressive_ratio,at_bid1_ratio,at_ask1_ratio,inside_spread_ratio,mean_dt_ms_log1p,median_dt_ms_log1p,max_dt_ms_log1p,mean_qty_log1p,mean_spread_abs_log1p,mean_top_depth_total_log1p,mean_top_depth_imbalance,delta_snap_last,delta_depth_imbalance,trade_ratio,add_ratio,cancel_ratio,side_imbalance,top1_pos_imbalance
0,3.0765058153110925,4.4407246472545445,2.813025201172181,1.3776835805775272,0.4234296929796172,0.10980759902927405,0.08148745518109031,0.8798240876255535,0.052918553215045745,0.7363265087155104,0.00022965567487091766,2.8031642558311054,0.0,4.714690652432451,7.106692361389044,0.010110274941442707,12.882147495988484,-0.0188390224080919,-1.6155088853011303e-05,-0.005002501624511724,0.7712437876495706,0.19129505421036436,0.03746115814006497,0.028320143848183724,-0.6834079555004646
1,3.5114470749905036,7.88015700502761,2.0548732667217515,3.048577417938397,1.6632245908111363,0.20621655963547592,0.42191990834734144,0.5118350834442589,0.2520547666014472,0.27930048394000173,0.0002053024888766636,4.513775778558955,3.9249866456378357,6.049424680349784,6.937539615891227,0.009964879133451471,12.840810680260706,0.08132929559157515,-0.000522670025188917,0.06499726397053256,0.22462897314075617,0.6283827854379832,0.1469210047127214,-0.21573778381251676,-0.027245717338554545
2,2.6531777812843047,6.782481510082408,1.4339195535871745,2.229598860448489,0.7322783775544535,0.15059281425708318,0.48478703134011497,0.39141279067217466,0.41870935683237626,0.17967529938355978,0.00012481148265640438,4.502846077765216,3.6375884699949785,5.888720188045288,6.828783155561666,0.00996597322800817,12.96489213561639,-0.23055529148791687,0.00032835820895521023,-0.059832130991371225,0.2622679432194887,0.6369388392678376,0.09999763380860607,-0.3328889592135556,0.2390340574488165
3,2.8249263239385503,7.4130941087583695,1.456478239366328,2.299925336185438,1.3482486801319087,0.3375369794129714,0.2354368433396173,0.2941281072853683,0.3444766058200803,0.19141234332747076,0.0001609279164389385,4.878370459936914,4.190240485903294,6.265372476606075,6.8257975615594955,0.009977127513271091,12.592616411526496,-0.21405883193887182,0.0005010020040080279,-0.07258436366308277,0.22341596178124942,0.5757887143378115,0.19657666397911874,0.10165289179171998,0.15306426249260954
4,2.569772716132097,2.4148531969531764,0.9970227688953629,2.3200833972135113,0.45989118011956626,0.25469060557613327,0.5080195854548792,0.5647741486367954,0.16923052091503538,0.1456160234764695,0.0,1.3716398138354104,0.2770517917126929,2.842340628508925,6.97993658211829,0.010711452466791078,12.137065508232894,0.12216144867847421,-8.583690987124281e-05,-0.00471011754021309,0.16726206931054305,0.7603604828457896,0.06231575528218592,-0.25262572871176286,0.02361449743856585
5,2.720363067332288,4.98865977089791,1.3157104709074134,2.2711406837166215,1.044395506411835,0.2856604584385963,0.3349131335682658,0.35624660573151534,0.13921693283374872,0.16722636165493884,0.1616967099180747,3.030092162917867,2.0542042202115955,4.4265798076029546,6.756728320024311,0.019533104328687833,13.233662863471421,-0.19650893064150624,0.0002072538860104319,0.043540836890646736,0.21540617485577215,0.623392842585942,0.15681002191542032,-0.04940241532817529,-0.02800942882119013
6,2.678781947252314,6.637974485734757,1.773774738967622,2.1178550150534674,0.6036020092379899,0.2711557565121722,0.27903514901300963,0.707123788477346,0.15116639073538524,0.5291481356030806,9.736684398403183e-05,4.363940130610536,2.6813572457712485,5.859137312553904,6.882311834127618,0.009966030090401238,12.675023641568519,0.30495582176762526,-0.0003353396388650063,0.08910358119937906,0.37628969548486446,0.5502635972358787,0.07341258643688146,-0.007931587845380138,-0.37798174486769537
7,2.8679737022727063,5.5475809933168865,2.4876578033767744,1.581685857191428,0.5299160109009031,0.08433316072226783,0.18516527351780568,0.11418023700999962,0.7373549247195011,0.06832993097408274,0.0001831369430588689,3.6270493257947725,0.22051713103676907,5.5414865918984555,6.8835015299772175,0.010000538686284673,12.723579348863217,-0.1714305560203864,-0.00015094339622640518,-0.020856343620295207,0.6760931881717872,0.2694984342400735,0.05440837758813935,-0.10083211279553785,0.6690249937454185
