episode_id,cluster_kmeans,episode_start_reason,n_events,duration_ms,n_trade,n_add,n_cancel,trade_ratio,add_ratio,cancel_ratio,aggressive_ratio,at_bid1_ratio,at_ask1_ratio,inside_spread_ratio
17,0,soft_dt_jump,64,0,42,17,5,0.65625,0.265625,0.078125,0.609375,0.28125,0.25,0.0
18,4,max_events_per_episode,31,10,5,13,13,0.16129032258064516,0.41935483870967744,0.4,0.41935483870967744,0.0967741935483871,0.0,0.0
19,4,soft_dt_jump,26,0,1,24,1,0.038461538461538464,0.8888888888888888,0.038461538461538464,0.5769230769230769,0.15384615384615385,0.038461538461538464,0.0
20,4,soft_dt_jump,12,0,0,11,1,0.0,0.8888888888888888,0.08333333333333333,0.6666666666666666,0.08333333333333333,0.0,0.0
21,4,soft_dt_jump,21,0,6,13,2,0.2857142857142857,0.6190476190476191,0.09523809523809523,0.6666666666666666,0.09523809523809523,0.3333333333333333,0.0
22,4,soft_dt_jump,18,0,4,11,3,0.2222222222222222,0.6111111111111112,0.16666666666666666,0.6111111111111112,0.16666666666666666,0.1111111111111111,0.0
23,4,soft_dt_jump,17,0,8,8,1,0.47058823529411764,0.47058823529411764,0.058823529411764705,0.7647058823529411,0.11764705882352941,0.17647058823529413,0.0
24,4,soft_dt_jump,14,0,1,13,0,0.07142857142857142,0.8888888888888888,0.0,0.5,0.2857142857142857,0.0,0.0
25,4,soft_dt_jump,24,0,3,18,3,0.125,0.75,0.125,0.4583333333333333,0.20833333333333334,0.08333333333333333,0.0
26,4,soft_dt_jump,21,0,3,18,0,0.14285714285714285,0.8571428571428571,0.0,0.38095238095238093,0.5238095238095238,0.0,0.0
27,4,soft_dt_jump,11,0,0,8,3,0.0,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.0,0.0,0.0
28,4,soft_dt_jump,12,0,1,8,3,0.08333333333333333,0.6666666666666666,0.25,0.25,0.16666666666666666,0.08333333333333333,0.0
29,4,soft_dt_jump,17,0,3,13,1,0.17647058823529413,0.7647058823529411,0.058823529411764705,0.6470588235294118,0.17647058823529413,0.11764705882352941,0.0
30,4,soft_dt_jump,11,0,3,8,0,0.2727272727272727,0.7272727272727273,0.0,0.6363636363636364,0.2727272727272727,0.2727272727272727,0.0
31,4,soft_dt_jump,14,0,2,12,0,0.14285714285714285,0.8571428571428571,0.0,0.6428571428571429,0.21428571428571427,0.14285714285714285,0.0
32,4,soft_dt_jump,11,0,1,6,4,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.0,0.0
33,4,soft_dt_jump,16,10,3,11,2,0.1875,0.6875,0.125,0.5625,0.25,0.0625,0.0
34,4,soft_dt_jump,8,0,0,8,0,0.0,0.8888888888888888,0.0,0.625,0.125,0.25,0.0
35,4,soft_side_flip_with_dt_jump,11,10,1,8,2,0.09090909090909091,0.7272727272727273,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.0
36,4,soft_dt_jump,9,0,1,6,2,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.0,0.0
37,0,soft_dt_jump,27,20,17,9,1,0.6296296296296297,0.3333333333333333,0.037037037037037035,0.7777777777777778,0.07407407407407407,0.18518518518518517,0.0
38,4,soft_dt_jump,12,0,1,10,1,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.0,0.0
39,4,soft_dt_jump,9,0,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0.4444444444444444,0.3333333333333333,0.0,0.0
40,4,soft_dt_jump,13,10,1,10,2,0.07692307692307693,0.7692307692307693,0.15384615384615385,0.6153846153846154,0.07692307692307693,0.0,0.0
41,4,soft_dt_jump,15,0,3,12,0,0.2,0.8,0.0,0.6666666666666666,0.2,0.2,0.0
42,4,soft_dt_jump,17,20,2,13,2,0.11764705882352941,0.7647058823529411,0.11764705882352941,0.5882352941176471,0.17647058823529413,0.058823529411764705,0.0
43,4,soft_dt_jump,9,0,0,8,1,0.0,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.0,0.0
44,0,soft_dt_jump,61,0,44,16,1,0.7213114754098361,0.26229508196721313,0.01639344262295082,0.9016393442622951,0.03278688524590164,0.03278688524590164,0.0
45,4,soft_dt_jump,17,10,3,12,2,0.17647058823529413,0.7058823529411765,0.11764705882352941,0.47058823529411764,0.23529411764705882,0.11764705882352941,0.0
46,0,soft_dt_jump,40,0,32,8,0,0.8,0.2,0.0,0.975,0.025,0.05,0.0
47,4,soft_dt_jump,8,0,2,6,0,0.25,0.75,0.0,0.25,0.375,0.0,0.0
48,4,soft_dt_jump,14,10,1,13,0,0.07142857142857142,0.8888888888888888,0.0,0.5,0.35714285714285715,0.07142857142857142,0.0
49,4,soft_side_flip_with_dt_jump,11,20,0,10,1,0.0,0.8888888888888888,0.09090909090909091,0.45454545454545453,0.36363636363636365,0.0,0.0
50,4,soft_dt_jump,15,0,2,13,0,0.13333333333333333,0.8666666666666667,0.0,0.8,0.06666666666666667,0.13333333333333333,0.0
51,4,soft_dt_jump,14,0,3,11,0,0.21428571428571427,0.7857142857142857,0.0,0.6428571428571429,0.07142857142857142,0.2857142857142857,0.0
52,4,soft_dt_jump,14,0,3,10,1,0.21428571428571427,0.7142857142857143,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.0
53,4,soft_dt_jump,8,0,1,7,0,0.125,0.875,0.0,0.625,0.0,0.125,0.0
54,4,soft_dt_jump,8,10,1,6,1,0.125,0.75,0.125,0.5,0.0,0.125,0.0
55,4,soft_dt_jump,10,10,1,7,2,0.1,0.7,0.2,0.5,0.0,0.2,0.0
56,4,soft_dt_jump,10,10,1,6,3,0.1,0.6,0.3,0.5,0.1,0.1,0.0
57,4,soft_dt_jump,12,0,2,10,0,0.16666666666666666,0.8333333333333334,0.0,0.75,0.08333333333333333,0.16666666666666666,0.0
58,4,soft_dt_jump,9,10,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0.7777777777777778,0.1111111111111111,0.5555555555555556,0.0
59,4,soft_dt_jump,10,0,2,7,1,0.2,0.7,0.1,0.1,0.3,0.0,0.0
60,4,soft_dt_jump,8,0,2,6,0,0.25,0.75,0.0,0.375,0.625,0.0,0.0
61,4,soft_dt_jump,12,0,0,9,3,0.0,0.75,0.25,0.4166666666666667,0.0,0.0,0.0
62,4,soft_dt_jump,11,10,0,11,0,0.0,0.8888888888888888,0.0,0.7272727272727273,0.09090909090909091,0.0,0.0
63,0,soft_side_flip_with_dt_jump,64,0,45,18,1,0.703125,0.28125,0.015625,0.8125,0.0625,0.109375,0.0
64,0,max_events_per_episode,30,0,30,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
65,4,soft_dt_jump,13,0,0,13,0,0.0,0.8888888888888888,0.0,0.6923076923076923,0.15384615384615385,0.0,0.0
66,4,soft_side_flip_with_dt_jump,13,0,1,12,0,0.07692307692307693,0.8888888888888888,0.0,0.6923076923076923,0.15384615384615385,0.0,0.0
67,4,soft_dt_jump,11,0,0,11,0,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0
68,4,soft_dt_jump,12,0,2,9,1,0.16666666666666666,0.75,0.08333333333333333,0.5,0.25,0.08333333333333333,0.0
69,4,soft_dt_jump,21,10,4,17,0,0.19047619047619047,0.8095238095238095,0.0,0.47619047619047616,0.19047619047619047,0.09523809523809523,0.0
70,4,soft_dt_jump,15,0,3,11,1,0.2,0.7333333333333333,0.06666666666666667,0.7333333333333333,0.06666666666666667,0.26666666666666666,0.0
71,4,soft_dt_jump,13,0,3,10,0,0.23076923076923078,0.7692307692307693,0.0,0.46153846153846156,0.23076923076923078,0.07692307692307693,0.0
72,4,soft_dt_jump,11,0,3,8,0,0.2727272727272727,0.7272727272727273,0.0,0.6363636363636364,0.09090909090909091,0.36363636363636365,0.0
73,4,soft_dt_jump,8,0,1,7,0,0.125,0.875,0.0,0.625,0.125,0.125,0.0
74,4,soft_dt_jump,13,0,3,10,0,0.23076923076923078,0.7692307692307693,0.0,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.0
75,4,soft_dt_jump,12,10,2,9,1,0.16666666666666666,0.75,0.08333333333333333,0.5833333333333334,0.0,0.25,0.0
76,4,soft_dt_jump,14,10,4,7,3,0.2857142857142857,0.5,0.21428571428571427,0.6428571428571429,0.14285714285714285,0.14285714285714285,0.0
77,4,soft_dt_jump,13,10,2,9,2,0.15384615384615385,0.6923076923076923,0.15384615384615385,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.0
78,4,soft_dt_jump,13,10,0,12,1,0.0,0.8888888888888888,0.07692307692307693,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.0
79,4,soft_dt_jump,13,20,5,8,0,0.38461538461538464,0.6153846153846154,0.0,0.7692307692307693,0.07692307692307693,0.46153846153846156,0.0
80,4,soft_dt_jump,11,20,0,9,2,0.0,0.8181818181818182,0.18181818181818182,0.8181818181818182,0.0,0.09090909090909091,0.0
81,4,soft_dt_jump,8,0,3,5,0,0.375,0.625,0.0,0.375,0.375,0.0,0.0
82,4,soft_dt_jump,15,10,6,9,0,0.4,0.6,0.0,0.6666666666666666,0.26666666666666666,0.26666666666666666,0.0
83,4,soft_dt_jump,8,20,0,7,1,0.0,0.875,0.125,0.5,0.375,0.0,0.0
84,4,soft_dt_jump,11,10,1,9,1,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.0
85,4,soft_dt_jump,10,10,2,8,0,0.2,0.8,0.0,0.2,0.3,0.1,0.0
86,4,soft_dt_jump,8,10,1,6,1,0.125,0.75,0.125,0.5,0.25,0.25,0.0
87,4,soft_dt_jump,11,30,1,8,2,0.09090909090909091,0.7272727272727273,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.0,0.0
88,4,soft_dt_jump,11,30,0,11,0,0.0,0.8888888888888888,0.0,0.7272727272727273,0.0,0.18181818181818182,0.0
89,4,soft_dt_jump,11,10,2,9,0,0.18181818181818182,0.8181818181818182,0.0,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.0
90,4,soft_dt_jump,8,10,2,5,1,0.25,0.625,0.125,0.625,0.25,0.125,0.0
91,0,soft_dt_jump,32,0,27,5,0,0.84375,0.15625,0.0,0.9375,0.0,0.1875,0.0
92,4,soft_dt_jump,10,10,1,9,0,0.1,0.8888888888888888,0.0,0.5,0.3,0.1,0.0
93,4,soft_dt_jump,10,20,3,6,1,0.3,0.6,0.1,0.2,0.2,0.1,0.0
94,4,soft_dt_jump,8,0,2,6,0,0.25,0.75,0.0,0.75,0.125,0.125,0.0
95,4,soft_dt_jump,12,10,0,12,0,0.0,0.8888888888888888,0.0,0.6666666666666666,0.08333333333333333,0.0,0.0
96,4,soft_side_flip_with_dt_jump,8,20,0,8,0,0.0,0.8888888888888888,0.0,0.5,0.25,0.0,0.0
97,4,soft_dt_jump,9,20,0,9,0,0.0,0.8888888888888888,0.0,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.0
98,4,soft_side_flip_with_dt_jump,19,20,4,13,2,0.21052631578947367,0.6842105263157895,0.10526315789473684,0.631578947368421,0.15789473684210525,0.21052631578947367,0.0
99,0,soft_dt_jump,32,0,24,7,1,0.75,0.21875,0.03125,0.90625,0.03125,0.09375,0.0
100,4,soft_dt_jump,17,20,0,13,4,0.0,0.7647058823529411,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.11764705882352941,0.0
101,4,soft_dt_jump,22,20,6,16,0,0.2727272727272727,0.7272727272727273,0.0,0.5909090909090909,0.2727272727272727,0.09090909090909091,0.0
