episode_id,symbol,session_bucket_std,episode_start_reason,is_too_short_episode,start_event_idx,end_event_idx,start_time_ms,end_time_ms,n_events,duration_ms,n_trade,n_add,n_cancel,buy_like_ratio,sell_like_ratio,aggressive_ratio,at_bid1_ratio,at_ask1_ratio,inside_spread_ratio,mean_dt_ms,median_dt_ms,max_dt_ms,mean_qty_log1p,mean_spread_abs,mean_top_depth_total,mean_top_depth_imbalance,delta_snap_last,delta_depth_total,delta_depth_imbalance,trade_ratio,add_ratio,cancel_ratio,side_imbalance,top1_pos_imbalance,n_events_log1p,duration_ms_log1p,n_trade_log1p,n_add_log1p,n_cancel_log1p,mean_dt_ms_log1p,median_dt_ms_log1p,max_dt_ms_log1p,mean_spread_abs_log1p,mean_top_depth_total_log1p,cluster_kmeans
11,000001,continuous_am,soft_dt_jump,0,4070,4088,34200120,34200120,19,0,0,18,1,0.21052631578947367,0.7142857142857143,0.7368421052631579,0.0,0.05263157894736842,0.0,0.5263157894736842,0.0,10.0,8.069150405008433,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.0,0.8888888888888888,0.05263157894736842,-0.5263157894736842,-0.05263157894736842,2.995732273553991,0.0,0.0,2.9444389791664403,0.6931471805599453,0.42285685082003355,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
12,000001,continuous_am,soft_dt_jump,0,4089,4104,34200130,34200130,16,0,4,11,1,0.1875,0.5,0.3125,0.3125,0.0625,0.0,0.625,0.0,10.0,7.744100432732399,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.25,0.6875,0.0625,-0.3125,0.25,2.833213344056216,0.0,1.6094379124341003,2.4849066497880004,0.6931471805599453,0.4855078157817008,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
13,000001,continuous_am,soft_dt_jump,0,4105,4122,34200140,34200140,18,0,4,13,1,0.16666666666666666,0.5555555555555556,0.5,0.16666666666666666,0.1111111111111111,0.0,0.5555555555555556,0.0,10.0,7.573692587112944,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.2222222222222222,0.7222222222222222,0.05555555555555555,-0.38888888888888895,0.05555555555555555,2.9444389791664403,0.0,1.6094379124341003,2.6390573296152584,0.6931471805599453,0.44183275227903923,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
14,000001,continuous_am,soft_dt_jump,0,4123,4142,34200150,34200150,20,0,3,14,3,0.1,0.6,0.45,0.15,0.1,0.0,0.5,0.0,10.0,7.56878376003979,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.15,0.7,0.15,-0.5,0.04999999999999999,3.044522437723423,0.0,1.3862943611198906,2.70805020110221,1.3862943611198906,0.4054651081081644,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
15,000001,continuous_am,soft_dt_jump,0,4143,4156,34200160,34200160,14,0,0,10,4,0.07142857142857142,0.6428571428571429,0.6428571428571429,0.0,0.07142857142857142,0.0,0.7142857142857143,0.0,10.0,7.538960662590987,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,-0.5714285714285715,-0.07142857142857142,2.70805020110221,0.0,0.0,2.3978952727983707,1.6094379124341003,0.538996500732687,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
16,000001,continuous_am,soft_dt_jump,0,4157,4178,34200170,34200170,22,0,1,18,3,0.13636363636363635,0.6818181818181818,0.5454545454545454,0.09090909090909091,0.045454545454545456,0.0,0.45454545454545453,0.0,10.0,7.264599018078539,0.009999999999999787,124700.0,0.05212510024057738,0.0,0.0,0.0,0.045454545454545456,0.8181818181818182,0.13636363636363635,-0.5454545454545454,0.045454545454545456,3.1354942159291497,0.0,0.6931471805599453,2.9444389791664403,1.3862943611198906,0.3746934494414107,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
17,000001,continuous_am,soft_dt_jump,0,4179,4242,34200180,34200180,64,0,42,17,5,0.125,0.140625,0.609375,0.28125,0.25,0.0,0.15625,0.0,10.0,7.814489192329109,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.65625,0.265625,0.078125,-0.015625,0.03125,4.174387269895637,0.0,3.7612001156935624,2.8903717578961645,1.791759469228055,0.1451820098444979,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,0
18,000001,continuous_am,max_events_per_episode,0,4243,4273,34200180,34200190,31,10,5,13,13,0.0967741935483871,0.3225806451612903,0.41935483870967744,0.0967741935483871,0.0,0.0,0.3225806451612903,0.0,10.0,7.923871124911114,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.16129032258064516,0.41935483870967744,0.4,-0.22580645161290322,0.0967741935483871,3.4657359027997265,2.3978952727983707,1.791759469228055,2.6390573296152584,2.4849066497880004,0.27958486221916157,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
19,000001,continuous_am,soft_dt_jump,0,4274,4299,34200200,34200200,26,0,1,24,1,0.3076923076923077,0.6153846153846154,0.5769230769230769,0.15384615384615385,0.038461538461538464,0.0,0.38461538461538464,0.0,10.0,7.270502038680127,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.038461538461538464,0.8888888888888888,0.038461538461538464,-0.3076923076923077,0.11538461538461539,3.295836866004329,0.0,0.6931471805599453,3.2188758248682006,0.6931471805599453,0.32542240043462795,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
20,000001,continuous_am,soft_dt_jump,0,4300,4311,34200210,34200210,12,0,0,11,1,0.25,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.0,0.0,0.8333333333333334,0.0,10.0,6.349311631471896,0.009999999999999787,124700.0,0.05212510024057739,0.0,0.0,0.0,0.0,0.8888888888888888,0.08333333333333333,-0.41666666666666663,0.08333333333333333,2.5649493574615367,0.0,0.0,2.4849066497880004,0.6931471805599453,0.6061358035703156,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
