cluster_kmeans,n_episodes,mean_n_events,median_n_events,mean_duration_ms,median_duration_ms,mean_n_trade,mean_n_add,mean_n_cancel,mean_trade_ratio,mean_add_ratio,mean_cancel_ratio,mean_aggressive_ratio,mean_at_bid1_ratio,mean_at_ask1_ratio,mean_inside_spread_ratio
0,619,25.79967689822294,19.0,406.36510500807753,200.0,20.924071082390952,4.069466882067851,0.8061389337641357,0.7712437876495706,0.19129505421036436,0.03746115814006497,0.8798240876255535,0.052918553215045745,0.7363265087155104,0.00022965567487091766
1,1588,34.787153652392945,32.0,3199.2191435768264,2725.0,8.016372795969774,21.86712846347607,4.903652392947103,0.22462897314075617,0.6283827854379832,0.1469210047127214,0.5118350834442589,0.2520547666014472,0.27930048394000173,0.0002053024888766636
2,1340,13.977611940298507,13.0,1193.6716417910447,900.0,3.6761194029850746,8.958955223880597,1.3425373134328358,0.2622679432194887,0.6369388392678376,0.09999763380860607,0.39141279067217466,0.41870935683237626,0.17967529938355978,0.00012481148265640438
3,1497,17.32732130928524,16.0,2129.6526386105543,1820.0,3.9398797595190382,10.02805611222445,3.35938543754175,0.22341596178124942,0.5757887143378115,0.19657666397911874,0.2941281072853683,0.3444766058200803,0.19141234332747076,0.0001609279164389385
4,233,12.815450643776824,11.0,43.047210300429185,10.0,2.171673819742489,9.798283261802576,0.8454935622317596,0.16726206931054305,0.7603604828457896,0.06231575528218592,0.5647741486367954,0.16923052091503538,0.1456160234764695,0.0
5,193,15.357512953367875,13.0,855.0259067357513,400.0,3.4196891191709846,9.601036269430052,2.3367875647668392,0.21540617485577215,0.623392842585942,0.15681002191542032,0.35624660573151534,0.13921693283374872,0.16722636165493884,0.22178329626081209
6,1163,14.590713671539122,13.0,1031.2983662940671,800.0,5.487532244196045,8.047291487532243,1.0558899398108341,0.37628969548486446,0.5502635972358787,0.07341258643688146,0.707123788477346,0.15116639073538524,0.5291481356030806,9.736684398403183e-05
7,795,20.056603773584907,15.0,655.0314465408806,430.0,14.373584905660378,4.69811320754717,0.9849056603773585,0.6760931881717872,0.2694984342400735,0.05440837758813935,0.11418023700999962,0.7373549247195011,0.06832993097408274,0.0001831369430588689
