,baseline_0,baseline_1,baseline_2,baseline_3,baseline_4,baseline_5,baseline_6,baseline_7
learned_0,0.9826922321665642,-0.24078717827931453,-0.4929075596337801,-0.28272017746103756,-0.23312616233003441,-0.43545882644797435,0.41555891999421113,-0.22655434396933807
learned_1,-0.29768756897380483,0.8852762665177337,0.07876524521012793,-0.47854419546420984,0.6404574933363169,-0.024421002091919056,0.3561310136978645,-0.46575374355963417
learned_2,-0.4792540046030619,-0.006218783109560806,0.3005217676368601,0.06364244616809464,0.3147300287075249,0.7720489284535879,-0.2601586059428825,-0.35718013323359626
learned_3,-0.5477113997227151,-0.3831779626173523,0.917493481736521,0.5177185279054813,-0.028438426193428137,0.13996147253697988,-0.870300784609651,0.34993499109555987
learned_4,0.5944195541950329,0.2542136625288146,-0.6490864773643218,-0.6499373869365129,0.08687266021289894,-0.4505604103289037,0.5186585755413752,0.11518431886867134
learned_5,-0.26422353960356054,-0.15855128007348382,0.2689017612733863,-0.030615141809560733,-0.3053799893717681,-0.2565990929426258,-0.3954099354447406,0.9782020474828487
learned_6,-0.49735907954118885,-0.358194669727044,0.1957462985651064,0.9720319798653501,-0.2958167585379811,0.5025731367079912,-0.44245237999348536,-0.11248415848310911
learned_7,0.24514541557301067,0.26261329831156466,-0.5925314621842164,-0.10083366802638122,0.04161878779822866,-0.05131001524242657,0.8862197103197136,-0.6241940134924997
