learned_cluster,baseline_cluster,corr
0,0,0.9826922321665642
1,1,0.8852762665177337
2,5,0.7720489284535879
3,2,0.917493481736521
4,4,0.08687266021289894
5,7,0.9782020474828487
6,3,0.9720319798653501
7,6,0.8862197103197136
