cluster_kmeans,n_events,duration_ms,trade_ratio,cancel_ratio,buy_like_ratio,sell_like_ratio,aggressive_ratio,at_bid1_ratio,at_ask1_ratio,inside_spread_ratio,mean_dt_ms,max_dt_ms,mean_qty_log1p,mean_spread_abs,mean_top_depth_total,mean_top_depth_imbalance,delta_snap_last,delta_depth_total,delta_depth_imbalance,side_imbalance,top1_pos_imbalance,cluster_size
0,18.7,1411.8101265822784,0.35202402659036636,0.10718249783201644,0.26613637789839567,0.27422342797339994,0.7430315611164644,0.08731414735112297,0.5486231695038536,0.0023980301248098844,96.88137078511087,443.9367088607595,6.947392309224355,0.010204531228265269,468839.6586189237,0.44410103493258773,-0.00017721518987343977,2795.906620253156,0.13797804847472597,-0.008134678255543818,-0.46130902215273056,790
1,20.031307550644566,2787.0994475138123,0.17401272567270887,0.2026230415184148,0.3590489079522162,0.2548966299495801,0.3544601237927568,0.2653544711524817,0.2324990762710036,0.010866693500866682,168.95911756838694,656.4917127071823,6.81516285474573,0.0106041968625319,560859.6151501365,-0.1722286652441364,0.00029465930018417977,4075.391602209939,-0.03142081294117679,0.10330549390355613,0.03285539488147805,1086
2,20.04911742133538,1791.7651573292403,0.3601521173242254,0.10658048284307951,0.214191511026783,0.3189525470670676,0.43876616974418614,0.38958134853011794,0.3226902672638714,0.0003235897366850228,110.06660501989634,528.6799693016117,6.769445704878398,0.010038372985418164,647003.2698269908,-0.12220083498809955,2.3023791250951725e-05,-569.3543745203433,-0.011735387335995667,-0.10456244338198359,0.06689108126624652,1303
3,18.151282051282053,228.28205128205127,0.3131930862334873,0.07201542218188446,0.22595948245754863,0.3839677663134114,0.6170241130743136,0.1187818272102066,0.13125799348644474,0.03162052615644677,14.655679357938194,90.8974358974359,6.965829226381177,0.012350475109894876,382442.26642982,0.16288289087569127,-0.0001282051282051382,-1291.8788205128205,0.03256727711195352,-0.1575759263515834,-0.01247616627623813,390
4,20.2013698630137,655.6027397260274,0.6882013655578552,0.04995095931274111,0.06804032047426313,0.19380735465514048,0.09763032342028044,0.7653173209182429,0.05900032437050929,0.00017176965689011026,57.5175643253277,396.4931506849315,6.873712311914181,0.010066131317902597,502616.3623031216,-0.12149238044083592,-0.00017808219178080918,-2529.696150684934,-0.023764677394391164,-0.12572552318046223,0.7063169965477336,730
5,24.66312346688471,1898.0130825838103,0.1719495000252784,0.12531439050652163,0.19754667691165767,0.5022870881468272,0.6141808742791386,0.17338948685870054,0.29092739711610155,0.0028836327816006463,96.23841685198204,398.1766148814391,6.944087559847849,0.010217301868945662,428413.23114764655,0.27702250408368734,-0.0003597710547833104,-2694.639059689294,0.07555036070563495,-0.3036315546732009,-0.11753791025740098,1223
6,19.794594594594596,1789.853281853282,0.27200116149576375,0.13359465196206216,0.19969841081340933,0.3936893027850681,0.22889177389798823,0.47586383212850253,0.08714725240067421,0.0015741135003777434,111.50822398911737,487.33590733590734,6.901824507771772,0.01011510589254946,524420.9529811151,-0.458506653196537,0.0002239382239382242,-852.441088803096,-0.10784124108301661,-0.19380362871161924,0.38871657972782836,1295
7,23.684124386252044,542.013093289689,0.7401716101941049,0.038914168120225086,0.13442776685269583,0.08648645483297403,0.87167892190276,0.06545276060229732,0.8072942436363132,0.00033185421170402386,44.11543269729819,345.6137479541735,7.064272146351584,0.010198612080772353,571734.1487376941,-0.04488701857010568,-3.273322422259084e-05,-2740.64369885434,-0.0033507342406310886,0.04794131201972181,-0.741841483034016,611
