cluster_kmeans,n_events,duration_ms,trade_ratio,cancel_ratio,buy_like_ratio,sell_like_ratio,aggressive_ratio,at_bid1_ratio,at_ask1_ratio,inside_spread_ratio,mean_dt_ms,max_dt_ms,mean_qty_log1p,mean_spread_abs,mean_top_depth_total,mean_top_depth_imbalance,delta_snap_last,delta_depth_total,delta_depth_imbalance,side_imbalance,top1_pos_imbalance,cluster_size
0,24.598603839441537,529.8952879581152,0.7500529626918288,0.04359703769921765,0.12996616723063792,0.07638383237831557,0.8740241595525415,0.058471061980368735,0.8153542895038726,0.0003538619953772401,41.951212984104174,341.65794066317625,7.070759993883521,0.010176879548607184,572418.3952464218,-0.06478287960217223,-6.980802792322479e-05,-5580.2805061082045,-0.010148057411942748,0.05358233485232236,-0.7568832275235038,573
1,24.586181818181817,2149.3454545454547,0.17492212500595536,0.13775483040751116,0.19196088098287234,0.4924840248664397,0.6038805133647043,0.17495515961297384,0.29540513810754165,0.005290611271600822,111.08535649419032,459.14181818181817,6.919386896595802,0.01027120570806192,465750.1174205118,0.25679941694465447,-0.00029090909090909135,-1887.039905454551,0.07148531136854343,-0.29951649458918955,-0.12044997849456776,1375
2,13.030674846625766,71.84049079754601,0.17102059402836448,0.10226133047178816,0.26804851473627117,0.45092023646703244,0.5001322828374336,0.1491124455990649,0.1491555970598902,0.040146852249930094,7.39564392475628,36.99386503067485,6.879695040580016,0.013742023771083788,532167.8052606254,-0.040972225015269995,3.0674846625777e-05,3504.2394478527594,-0.0008782258378716984,-0.1823532083853186,-4.315146082531422e-05,326
3,19.939499709133216,1705.5904595695172,0.3143286152837405,0.11150744212738131,0.175297408765325,0.39842058560520544,0.2821226811230109,0.49119271588474894,0.1417628249147866,0.0012695384712693338,105.52086498125333,479.87201861547413,6.856652589826708,0.01006989520078519,580784.1205876914,-0.3848606986902445,0.00021524141942990408,-1160.9802385107685,-0.07790225884581335,-0.22284054154168648,0.3494298909699623,1719
4,30.078014184397162,423.12056737588654,0.7561824091552641,0.033288762986117215,0.09887241356828742,0.1116564142903311,0.6770843562265912,0.0639893531141756,0.12012658338299113,0.001013171225937183,28.230474534152677,245.46099290780143,7.081024217952848,0.010023640661938364,252388.5713300204,0.2410632908758262,-0.00035460992907804186,-2438.9454609929116,0.10563540369416356,-0.012784000722043684,-0.056137230268815536,141
5,20.466367713004484,706.7713004484305,0.6944105086954832,0.05359008996488454,0.07364138734652055,0.1783580139931117,0.10280868504211352,0.7894914809923061,0.06297031111068427,0.00018743176312373765,56.49261042322823,403.0493273542601,6.867154865062384,0.010072161228802548,501785.02492335933,-0.06695661744372029,-0.00022421524663676187,-449.59819133034614,-0.010203379972603179,-0.10471662664659116,0.7265211698816217,669
6,20.35800344234079,2650.7831325301204,0.1758794241655858,0.19550149897278044,0.35938464106306084,0.26109104944139444,0.29454949337007696,0.3159566000358506,0.18187671905223873,0.0075066395604668525,158.4099764587008,618.5197934595525,6.836189792920882,0.010396146290120685,501849.403974907,-0.24482265919066676,0.00018932874354561928,1691.3407142857088,-0.06039497564002217,0.09758417216324917,0.13407988098361182,1162
7,18.27136021872864,1495.3520164046479,0.3648200910629218,0.10325208635351459,0.26757038889423285,0.26382288141580534,0.6493755206046367,0.18229853738226265,0.4965471136326962,0.0004129201416149436,105.10954759557907,491.8933697881066,6.876457707023249,0.010029140329397411,544293.8514242045,0.24009226813594844,-6.83526999316514e-05,1909.1810731373816,0.07482645519905977,0.0036684983166036787,-0.3142485762504335,1463
