episode_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,cluster_kmeans
1,-0.7086228728294373,0.3081486225128174,1.043697953224182,-0.6478734016418457,0.237964779138565,-0.1774739921092987,0.8318674564361572,0.958341896533966,-0.5809274315834045,-1.7902493476867676,0.2461796998977661,1.3835973739624023,-0.7635992169380188,-1.0054881572723389,-1.4592162370681765,0.8793416619300842,0.1448300629854202,-0.8292747735977173,-0.7109726071357727,-0.5074870586395264,0.597820520401001,0.0930087715387344,-0.669252872467041,-1.1027566194534302,0.3590009212493896,0.675114095211029,-0.5248304605484009,-0.7250121235847473,-1.3462631702423096,-1.628563404083252,0.81796795129776,-0.8906631469726562,-1.383792757987976,0.085627295076847,-0.7329851984977722,1.4818135499954224,-0.0255868565291166,-0.7284042835235596,-0.5471885204315186,0.2617258131504059,1.0338449478149414,0.647258996963501,-1.2235773801803589,-0.815253734588623,-0.7130793333053589,0.3381651043891907,-0.3473647236824035,-0.3463412225246429,1.6096535921096802,-0.4265940487384796,1.2694066762924194,1.1448153257369995,1.5338773727416992,0.4142062962055206,0.1306972354650497,0.9634309411048888,-0.6239984035491943,1.3839174509048462,0.5970997214317322,0.8702858686447144,-1.2770055532455444,1.60322105884552,0.7896679043769836,1.1182024478912354,5
2,-0.5478627681732178,0.3164107799530029,0.9862952828407288,0.3428564071655273,0.4364280104637146,-1.335957407951355,0.4921897351741791,-0.8284990787506104,0.6997207999229431,-0.8646430969238281,0.2063567042350769,1.700580358505249,-1.3355882167816162,0.4394515454769134,0.7841751575469971,0.8378298282623291,0.3571108281612396,-0.6292187571525574,-1.0747298002243042,0.2923764884471893,1.3121153116226196,-0.0855138674378395,0.2311127930879593,0.8058483600616455,0.9209787845611572,-0.7580166459083557,-0.4820849001407623,0.7304888963699341,-2.1682052612304688,0.3251445293426513,-0.4887787401676178,-1.2178175449371338,-1.0207582712173462,0.4355703294277191,0.9375489354133606,-0.3554862141609192,0.5985205769538879,-0.2925242781639099,-0.2668607831001282,0.9444144368171692,-0.1345124989748001,-0.3463706970214844,-0.8004348278045654,-0.1057935357093811,-0.9172833561897278,0.7616795301437378,-0.1120197921991348,-1.406452178955078,-0.797277569770813,1.676220178604126,0.428952008485794,-0.5417398810386658,-0.5955809354782104,1.1642661094665527,-0.656062126159668,-0.2864030599594116,-0.2807495296001434,1.1421492099761963,-0.79322350025177,1.3836573362350464,-0.5816367268562317,0.5056846141815186,-0.3331526815891266,0.4785938858985901,0
3,-0.1643437594175338,-0.6669781804084778,0.8955482840538025,0.901163935661316,1.0389457941055298,-0.4006717205047607,0.5347120761871338,0.1257400065660476,-0.7853952646255493,-1.876857161521912,0.7639703750610352,1.881028771400452,0.8063015937805176,-0.3731175065040588,0.5094168782234192,0.4855429828166961,-1.1071678400039673,0.7643348574638367,-0.3683214485645294,-0.1187752112746238,0.9499090909957886,-0.5187762379646301,-1.7955257892608645,-0.5590494871139526,2.102992534637451,-1.1682660579681396,-0.1117959767580032,0.7721160054206848,-1.03212571144104,-0.3330270648002624,-0.2810910940170288,-1.204586148262024,-2.496945381164551,-1.81538188457489,-0.2511634826660156,1.3001304864883425,-1.0905961990356443,0.0209519118070602,-0.8973439335823059,-1.6127169132232666,0.6687341928482056,-0.0222515799105167,0.7710533142089844,0.7658460736274719,0.000635128468275,-0.324706882238388,0.3908633887767792,-0.0771377384662628,-1.530771017074585,1.6115634441375732,-0.1634491235017776,0.371092677116394,0.5128046274185181,0.7982001900672913,-0.2582426071166992,0.7256355285644531,-0.8506182432174683,1.990025520324707,1.3154780864715576,1.0333585739135742,-0.3790779113769531,1.6822370290756226,-0.2484735399484634,-1.432960033416748,2
4,-0.1434227526187896,-0.7285524010658264,0.7049552202224731,0.928382158279419,1.3270807266235352,-0.2762788236141205,0.2959740161895752,-0.4193439781665802,-0.8950731754302979,-1.9466121196746824,0.9723362922668456,1.4331157207489014,1.1797692775726318,0.1933255642652511,0.986138880252838,0.2001463770866394,-0.981058955192566,0.8096283674240112,-0.9152643084526062,0.0980157107114791,1.0151796340942385,-0.2935188710689544,-1.4113411903381348,-0.3143824934959411,2.248044967651367,-1.6629527807235718,0.287575900554657,0.8152095675468445,0.2287322431802749,-0.0662756115198135,-0.2195062339305877,-1.3176751136779783,-2.500359058380127,-1.8734214305877688,-0.3931213617324829,1.3969430923461914,-1.9293912649154663,0.5528674125671387,-1.002907156944275,-1.839170336723328,1.0025200843811035,0.4956538677215576,0.7939320802688599,1.133977293968201,-0.3181581497192383,-0.5093639492988586,0.1490804105997085,-0.0795986950397491,-2.011770725250244,2.0351595878601074,-0.6600472927093506,0.2516970932483673,0.7798143029212952,0.2382966876029968,-0.2090063393115997,0.3300693333148956,-0.7661688327789307,1.8545106649398804,1.0129220485687256,0.521764874458313,0.6577266454696655,1.3895671367645264,-0.4234728217124939,-2.1555042266845703,2
5,-0.6157786250114441,0.2065321654081344,1.0582716464996338,0.3999114036560058,0.6511843800544739,-1.293301343917847,0.2095486521720886,-1.0044466257095337,0.715847909450531,-0.6659943461418152,0.3559100329875946,1.3759397268295288,-0.8380804061889648,0.5896996259689331,1.4159928560256958,0.3849129378795624,0.0927177146077156,-0.9467989802360536,-1.1130832433700562,0.3681911528110504,1.715246558189392,-0.6732867360115051,0.0759761705994606,0.9776009917259216,1.551883339881897,-1.5024644136428833,-0.6869681477546692,0.7907652854919434,-1.6986093521118164,0.7592451572418213,-0.3782854974269867,-1.2497402429580688,-1.4690262079238892,0.1750250607728958,0.9217422604560852,-0.28541299700737,-0.0317672118544578,-0.1150195226073265,-0.5512908101081848,0.4039552211761474,-0.3690458536148071,-0.3431608378887176,-0.3412539660930633,0.2951509356498718,-0.94268536567688,0.70377516746521,0.089259885251522,-1.2523235082626345,-1.0031810998916626,2.4142110347747803,0.5566699504852295,-0.595683753490448,-0.6290925145149231,0.8141672611236572,-0.7721611857414246,-0.2708473205566406,-0.2658821642398834,1.6004520654678345,-0.8308079838752747,1.2368875741958618,-0.0878979861736297,0.5000051856040955,-0.3271065950393677,-0.0942379757761955,0
6,0.2362569719552993,-0.865253746509552,0.6751153469085693,0.8493835926055908,0.8315174579620361,-0.8486437201499939,0.7507337927818298,-0.3222327828407287,-1.2021251916885376,-1.8660629987716677,-0.1030212119221687,2.2186944484710693,0.6455391645431519,-0.3328553438186645,-0.0467410236597061,0.6506486535072327,-0.5755332708358765,0.7045208215713501,-0.3708628118038177,0.1278489232063293,0.884990394115448,-0.4145120978355407,-1.7472373247146606,-0.3030463457107544,1.847963571548462,-0.7875518202781677,0.6390932202339172,1.299989938735962,-1.4964654445648191,-0.7938498258590698,-0.4340865910053253,-1.8377619981765747,-1.5423921346664429,-1.4941179752349854,-0.2652706503868103,1.869622111320496,-0.1139965876936912,0.0364334993064403,-0.8319048285484314,-0.8868609666824341,1.1277469396591189,-0.4912140667438507,0.6308596134185791,0.1827051639556884,0.3040507435798645,0.1875420659780502,0.1777866929769516,-0.0134012829512357,-1.4506468772888184,0.8232901096343994,-0.3591042160987854,-0.2568079233169555,0.3631531298160553,0.8109103441238403,-0.0698928460478782,1.008836269378662,-0.6948999762535095,1.717987895011902,1.3141953945159912,1.358234405517578,-1.1489911079406738,1.4565818309783936,-0.5019971132278442,-0.9141862392425536,2
7,-0.3063255250453949,-0.5815759301185608,1.2102441787719729,0.5536310076713562,0.8211172223091125,-0.3790621161460876,0.3298815488815307,-0.1067264899611473,-1.1308027505874634,-1.810834050178528,-0.2180650383234024,1.9157346487045288,-0.190170556306839,-0.602938175201416,0.4383513927459717,0.5985720753669739,-0.6494426727294922,0.0638482719659805,-0.2805152833461761,-0.1146024838089943,0.9847747087478638,-0.011368884705007,-1.1842302083969116,-0.5873454809188843,1.671657919883728,-0.3208373486995697,0.2002471536397934,0.9147552251815796,-1.9203306436538696,-0.4987899363040924,-0.2947920858860016,-1.21189284324646,-2.018030405044556,-1.3965657949447632,-0.2334709614515304,1.0848029851913452,-0.1509264260530471,-0.1923351734876632,-0.5285447835922241,-0.9335519671440125,0.3935324251651764,-0.0327896960079669,0.0510426983237266,0.3229764699935913,-0.0424742698669433,-0.0214237719774246,0.4899472594261169,0.1143119484186172,-0.8733524084091187,0.8354642987251282,-0.0310978665947914,0.0666283220052719,0.2950816750526428,1.023661494255066,-0.0319812223315238,1.1172205209732056,-0.7254560589790344,1.7657960653305054,1.1971040964126587,1.5367059707641602,-1.1186479330062866,2.050433874130249,-0.7214657664299011,-0.3366471529006958,2
8,-0.1955396980047226,-0.1196792498230934,1.1241966485977173,0.2083628475666046,0.6854546666145325,-0.307381123304367,0.2738001644611358,0.1776160299777984,-1.0919415950775146,-2.1603517532348637,0.2060218155384063,1.5642969608306885,0.2105421274900436,-0.7241030931472778,0.0355030819773674,0.4028584659099579,-0.2815545797348022,0.2540881931781769,-0.8511141538619995,-0.2573434710502624,0.8968022465705872,0.2499281167984008,-1.2376731634140017,-0.8422530293464661,1.573339343070984,-0.8628343939781189,-0.1725947111845016,0.4749713242053985,-1.1457276344299316,-0.8626977801322937,0.3060300350189209,-1.2070564031600952,-2.1120054721832275,-1.374652862548828,-0.3633068203926086,1.7708091735839844,-0.4094477295875549,-0.1203671842813491,-0.7032097578048706,-0.4834657907485962,1.6043857336044312,0.335535854101181,-0.2921120226383209,0.3929383456707001,-0.4376400411128998,0.2496152371168136,-0.1826300919055938,-0.1416854113340377,-0.699320912361145,1.444065809249878,0.0087403738871216,0.3258549273014068,1.296628475189209,0.3992755115032196,-0.2419662028551101,0.714097261428833,-1.1850616931915283,1.5708532333374023,0.6645951271057129,0.7852755784988403,-0.3089960515499115,1.616238355636597,0.1475671082735061,-0.3830380737781524,2
9,-0.1467749774456024,-0.9964248538017272,1.224461555480957,0.707145631313324,1.0027105808258057,-0.4068808555603027,0.3549254238605499,-0.2290014028549194,-1.2189912796020508,-2.1194121837615967,-0.2879939377307892,1.9669768810272217,0.550732433795929,-0.4694547653198242,0.3415414988994598,0.414164662361145,-0.6584178805351257,0.68834388256073,0.129126101732254,-0.362813264131546,0.7897739410400391,0.1888421773910522,-1.3678125143051147,-0.7181293368339539,1.911175847053528,-0.7409367561340332,0.3753538727760315,1.225868821144104,-1.6096155643463137,-1.0001243352890017,-0.5789617896080017,-0.9741904139518738,-2.0757741928100586,-2.262813806533813,-0.104412630200386,1.257117509841919,-0.0932880118489265,0.0780834704637527,-0.5304353833198547,-1.186423420906067,0.9077492356300354,-0.1533326804637909,0.3782704770565033,0.7896963953971863,0.3536024689674377,-0.340126484632492,0.8633344173431396,0.5341819524765015,-1.8434257507324217,1.5161083936691284,-0.8891945481300354,-0.0329818241298198,0.7169133424758911,0.926909327507019,0.0983720421791076,1.0906563997268677,-1.079448938369751,1.6950546503067017,1.2760133743286133,0.9905014038085938,-0.6690682768821716,1.9881436824798584,-1.0038670301437378,-1.0873194932937622,2
10,-0.3043809831142425,-0.9833605289459229,1.4353208541870115,0.4705086946487427,0.7961257696151733,-0.2393753379583358,0.3088188767433166,-0.1603323966264724,-1.1320966482162476,-1.9902265071868896,-0.5567042231559753,2.2051198482513428,0.0486691147089004,-0.3848272264003753,0.0106029631569981,0.3393719494342804,-0.5388638377189636,0.2821905612945556,0.490347295999527,-0.4606519639492035,0.8412807583808899,0.0058660735376179,-1.2255576848983765,-0.9940072298049928,1.9242737293243408,-0.2595509886741638,0.2896750569343567,0.9997735023498536,-1.9889822006225584,-1.2603154182434082,-0.6206411123275757,-0.7358123064041138,-1.8599565029144287,-2.025131225585937,-0.216754525899887,1.357933521270752,0.0747130513191223,-0.1688822507858276,-0.2172057628631591,-0.9703159332275392,0.7707655429840088,-0.2613261640071869,0.1187404170632362,0.5068013668060303,0.4259789884090423,-0.1485110819339752,1.021003007888794,0.7422925233840942,-1.4703408479690552,1.0711829662322998,-0.812682569026947,-0.0122283054515719,0.6186423301696777,1.0316627025604248,0.1649583876132965,1.0312199592590332,-0.9879051446914672,1.6765966415405271,1.408541560173035,1.0372822284698486,-1.040003776550293,2.030644416809082,-0.9377374053001404,-0.4047238826751709,2
